Discord ID,Discord Username,Why do you love freeCodeCamp?
465650873650118659,naomi_lgbt,"freeCodeCamp is wonderful!"
naomi_lgbt,Mama Naomi,"freeCodeCamp got me into tech"
1234567890123456,john_doe,"freeCodeCamp helps me learn coding"
9876543210123456789,tech_enthusiast,"I love freeCodeCamp for its community and resources"
abc1234567890,jane_dev,"freeCodeCamp challenges improve my coding skills"
9876543210,programming_nerd,"freeCodeCamp is my coding sanctuary"
invalid_id_1,bob_coder,"freecodecamp is amazing"
id_123456789012345678,jane_dev,"freeCodeCamp challenges improve my coding skills"
abc_098765432109,Dev_Girl,"freeCodeCamp inspires me to
code every day"
invalidID,tech_enthusiast,"freeCodeCamp is awesome for learning web development"
465650873650118659,bob_coder,"freecodecamp is awesome for learning web development"
123456789012345678,learning_dev,"I appreciate freeCodeCamp's commitment to education"
invalidID_123,Software_Geek,"freeCodeCamp challenges me to become a better coder"
98765432101234567890,design_code,"freeCodeCamp is where I learned to code"
465650873650118659,devops_ninja,"freecodecamp is a treasure trove of coding knowledge"
invalid_id_2,moonlight_coder,"I love freeCodeCamp's hands-on projects"
abc_invalid_id,OpenSource_Lover,"freeCodeCamp's open-source initiatives are commendable"
98765432101234567890,html_hero,"freeCodeCamp taught me the
basics of HTML, and CSS"
465650873650118659,css_champion,"freecodecamp makes learning CSS fun"
invalidID_987,react_maniac,"I appreciate freeCodeCamp's React tutorials"
abc_invalid_id_2,Vue_JS_Explorer,"freeCodeCamp introduced me to Vue.js"
invalidID_654,angular_aficionado,"I love freeCodeCamp's approach to teaching Angular"
465650873650118659,nodejs_pro,"freecodecamp's node.js tutorials are great"
invalidID_mongodb,mongodb_expert,"freeCodeCamp's MongoDB tutorials are insightful"
abc_invalid_id,SQL_Mastermind,"freeCodeCamp makes SQL easy to understand"
9876543210123456789,fullstack_genius,"I love freeCodeCamp for making me a full-stack developer"
465650873650118659,algorithm_wizard,"freecodecamp challenges sharpen my algorithmic skills"
invalidID_345,datascience_guru,"I appreciate freeCodeCamp's data science curriculum"
abc_invalid_id,machine_learning_pro,"freeCodeCamp made machine learning accessible for me"
invalidID_87654,devOps_rockstar,"freeCodeCamp's DevOps tutorials
are
comprehensive"
465650873650118659,coding_enthusiast,"freecodecamp is my go-to for coding practice"
invalid_ID_123,tech_innovator,"I love freeCodeCamp for its continuous updates"
abc_invalid_id,community_leader,"freeCodeCamp's community is welcoming, and diverse"
98765432101234567890,mentorship_seeker,"I appreciate freeCodeCamp's mentorship opportunities"
invalid_ID_456,self_taught_coder,"freecodecamp has changed my life by teaching me how to code

I am grateful for the amazing resource"
123456789012345678,learning_dev,"I appreciate freeCodeCamp's commitment to education"
invalidID_123,Software_Geek,"freeCodeCamp challenges me to become a better coder"
98765432101234567890,design_code,"freeCodeCamp is where I learned to code
HTML,
CSS
and JS"
465650873650118659,devops_ninja,"freecodecamp is a treasure trove of coding knowledge"
invalid_id_2,moonlight_coder,"I love freeCodeCamp's hands-on projects"
abc_invalid_id,OpenSource_Lover,"freeCodeCamp's open-source initiatives are commendable"
98765432101234567890,html_hero,"freeCodeCamp taught me the basics of HTML and CSS"
465650873650118659,css_champion,"freecodecamp makes learning CSS fun"
invalidID_987,react_maniac,"I appreciate freeCodeCamp's React tutorials"
abc_invalid_id_2,Vue_JS_Explorer,"freeCodeCamp introduced me to Vue.js"
invalidID_654,angular_aficionado,"I love freeCodeCamp's approach to teaching Angular"
465650873650118659,nodejs_pro,"freecodecamp's node.js tutorials are great"
invalidID_mongodb,mongodb_expert,"freeCodeCamp's MongoDB tutorials are insightful"
abc_invalid_id,SQL_Mastermind,"freeCodeCamp makes SQL easy to understand"
9876543210123456789,fullstack_genius,"I love freeCodeCamp for making me a full-stack developer"
465650873650118659,algorithm_wizard,"freecodecamp challenges sharpen my algorit"